epoch,timestamp,operations,operations-delta,operations/second
1671784301.777,23/12/2022 08:31:41,147351,1111,1111
1671784302.777,23/12/2022 08:31:42,148437,1086,1086
1671784303.778,23/12/2022 08:31:43,149563,1126,1124.875
1671784304.778,23/12/2022 08:31:44,150686,1123,1123
1671784305.778,23/12/2022 08:31:45,151782,1096,1096
1671784306.778,23/12/2022 08:31:46,152897,1115,1115
1671784307.778,23/12/2022 08:31:47,153975,1078,1078
1671784308.778,23/12/2022 08:31:48,155061,1086,1086
1671784309.778,23/12/2022 08:31:49,156190,1129,1129
1671784310.778,23/12/2022 08:31:50,157233,1043,1043
1671784311.778,23/12/2022 08:31:51,158350,1117,1117
1671784312.778,23/12/2022 08:31:52,159460,1110,1110
1671784313.778,23/12/2022 08:31:53,160479,1019,1019
1671784314.778,23/12/2022 08:31:54,161574,1095,1095
1671784315.779,23/12/2022 08:31:55,162598,1024,1022.977
1671784316.779,23/12/2022 08:31:56,163714,1116,1116
1671784317.779,23/12/2022 08:31:57,164820,1106,1106
1671784318.779,23/12/2022 08:31:58,165884,1064,1064
1671784319.779,23/12/2022 08:31:59,166995,1111,1111
1671784320.779,23/12/2022 08:32:00,168084,1089,1089
1671784321.779,23/12/2022 08:32:01,169201,1117,1117
1671784322.779,23/12/2022 08:32:02,170289,1088,1088
1671784323.779,23/12/2022 08:32:03,171368,1079,1079
1671784324.779,23/12/2022 08:32:04,172492,1124,1124
1671784325.779,23/12/2022 08:32:05,173620,1128,1128
1671784326.779,23/12/2022 08:32:06,174732,1112,1112
1671784327.78,23/12/2022 08:32:07,175829,1097,1095.904
1671784328.78,23/12/2022 08:32:08,176952,1123,1123
1671784329.78,23/12/2022 08:32:09,178060,1108,1108
1671784330.78,23/12/2022 08:32:10,179197,1137,1137
1671784331.78,23/12/2022 08:32:11,180246,1049,1049
1671784332.78,23/12/2022 08:32:12,181265,1019,1019
1671784333.78,23/12/2022 08:32:13,182280,1015,1015
1671784334.78,23/12/2022 08:32:14,183407,1127,1127
1671784335.78,23/12/2022 08:32:15,184533,1126,1126
1671784336.78,23/12/2022 08:32:16,185676,1143,1143
1671784337.78,23/12/2022 08:32:17,186781,1105,1105
1671784338.78,23/12/2022 08:32:18,187882,1101,1101
